id,index
GO:0006865,0
GO:0047879,1
GO:1990397,2
GO:0000136,3
GO:0031213,4
GO:0047111,5
GO:0004057,6
GO:0004665,7
GO:0016151,8
GO:0005049,9
GO:0005324,10
GO:0051782,11
GO:0033990,12
GO:0042753,13
GO:0031241,14
GO:0005132,15
GO:0051973,16
GO:0005942,17
GO:0045895,18
GO:0070940,19
GO:0015019,20
GO:0006597,21
GO:1990837,22
GO:0032221,23
GO:0009014,24
GO:0000272,25
GO:0097623,26
GO:0090141,27
GO:0033711,28
GO:0033916,29
GO:0031167,30
GO:0005223,31
GO:0007050,32
GO:0005922,33
GO:0043115,34
GO:0030694,35
GO:0009312,36
GO:0050992,37
GO:0038166,38
GO:0034707,39
GO:0006430,40
GO:0016592,41
GO:0021954,42
GO:0034028,43
GO:0018576,44
GO:0035871,45
GO:0010309,46
GO:0050549,47
GO:0019152,48
GO:0031083,49
GO:0008143,50
GO:0006654,51
GO:0008616,52
GO:0004339,53
GO:0047173,54
GO:0005096,55
GO:0032297,56
GO:0070004,57
GO:0010223,58
GO:0015936,59
GO:0015941,60
GO:0048731,61
GO:0015451,62
GO:0002407,63
GO:0008308,64
GO:2000045,65
GO:0016630,66
GO:0036159,67
GO:0007142,68
GO:0045900,69
GO:0008968,70
GO:0006420,71
GO:0045907,72
GO:0070395,73
GO:0032760,74
GO:0016159,75
GO:0006611,76
GO:0052874,77
GO:0043111,78
GO:0031398,79
GO:0018493,80
GO:0030089,81
GO:0018818,82
GO:0106293,83
GO:0050044,84
GO:0005221,85
GO:0007342,86
GO:0005921,87
GO:0006644,88
GO:0050821,89
GO:0110102,90
GO:0048741,91
GO:0001934,92
GO:0047151,93
GO:0042627,94
GO:0034453,95
GO:0005523,96
GO:0016798,97
GO:1990961,98
GO:0045131,99
GO:0015187,100
GO:0000186,101
GO:0008641,102
GO:0034975,103
GO:0046938,104
GO:0030837,105
GO:0035307,106
GO:0008782,107
GO:0018548,108
GO:0000288,109
GO:0070041,110
GO:0002183,111
GO:0004156,112
GO:0009404,113
GO:0006915,114
GO:0003834,115
GO:0039663,116
GO:0061710,117
GO:0010469,118
GO:0006083,119
GO:0032783,120
GO:1901137,121
GO:0000930,122
GO:1990970,123
GO:0032197,124
GO:0016714,125
GO:0032287,126
GO:0042742,127
GO:0009243,128
GO:0019815,129
GO:0006739,130
GO:0006937,131
GO:0016010,132
GO:0038022,133
GO:0046740,134
GO:0015181,135
GO:0008318,136
GO:0061708,137
GO:0007040,138
GO:0003839,139
GO:0071619,140
GO:0016999,141
GO:0070676,142
GO:0071569,143
GO:0030520,144
GO:0044659,145
GO:0019563,146
GO:0071482,147
GO:0005721,148
GO:0006813,149
GO:0031072,150
GO:0007259,151
GO:0004482,152
GO:0015444,153
GO:0006267,154
GO:0008361,155
GO:0030004,156
GO:0070161,157
GO:0003870,158
GO:0009897,159
GO:0000940,160
GO:0009317,161
GO:0071392,162
GO:0015087,163
GO:0006570,164
GO:0008959,165
GO:0044165,166
GO:0046553,167
GO:2001235,168
GO:0102478,169
GO:0008190,170
GO:0071230,171
GO:0051592,172
GO:0075713,173
GO:0008791,174
GO:0048513,175
GO:0000404,176
GO:0007626,177
GO:0044666,178
GO:0010521,179
GO:0004055,180
GO:0006567,181
GO:0009272,182
GO:0043027,183
GO:0033209,184
GO:0016036,185
GO:0018277,186
GO:0016920,187
GO:0006596,188
GO:0052881,189
GO:0005849,190
GO:0048666,191
GO:0009486,192
GO:0008528,193
GO:0045595,194
GO:0016780,195
GO:0004797,196
GO:0008013,197
GO:0106311,198
GO:0019483,199
GO:0006290,200
GO:0071765,201
GO:0070038,202
GO:0004045,203
GO:0045926,204
GO:0006271,205
GO:0031146,206
GO:0015221,207
GO:0016042,208
GO:0061631,209
GO:0000986,210
GO:0008673,211
GO:0001534,212
GO:0033818,213
GO:0016586,214
GO:0016433,215
GO:0045717,216
GO:0060173,217
GO:0008784,218
GO:0008157,219
GO:0006406,220
GO:0016765,221
GO:0016462,222
GO:0009695,223
GO:0000215,224
GO:0102553,225
GO:0010265,226
GO:0050830,227
GO:0004471,228
GO:0004174,229
GO:0006415,230
GO:0000967,231
GO:0008661,232
GO:0006826,233
GO:0004719,234
GO:0044804,235
GO:0030325,236
GO:0045505,237
GO:0061400,238
GO:0005673,239
GO:0090482,240
GO:1902626,241
GO:0071897,242
GO:0090158,243
GO:0009555,244
GO:0045839,245
GO:1990879,246
GO:0030964,247
GO:0047482,248
GO:0042310,249
GO:0031144,250
GO:0043232,251
GO:0030414,252
GO:0009018,253
GO:0006616,254
GO:0010172,255
GO:0004161,256
GO:0006354,257
GO:0004807,258
GO:0071526,259
GO:0009098,260
GO:0005987,261
GO:0032091,262
GO:0014065,263
GO:0050709,264
GO:0033574,265
GO:1903373,266
GO:0043388,267
GO:0035497,268
GO:0008504,269
GO:0016155,270
GO:0031100,271
GO:0004846,272
GO:0008940,273
GO:0004824,274
GO:0044228,275
GO:0042866,276
GO:2001295,277
GO:0009926,278
GO:0003842,279
GO:0002935,280
GO:0008941,281
GO:0050819,282
GO:0004104,283
GO:0008795,284
GO:0055040,285
GO:0098024,286
GO:0005991,287
GO:0070818,288
GO:0050605,289
GO:0034227,290
GO:0031647,291
GO:0047116,292
GO:0000922,293
GO:0098535,294
GO:0015169,295
GO:0009636,296
GO:0070469,297
GO:0003963,298
GO:0060047,299
GO:0051966,300
GO:0004556,301
GO:0044175,302
GO:0047471,303
GO:0004477,304
GO:0103118,305
GO:0000779,306
GO:0006811,307
GO:0048364,308
GO:0030855,309
GO:0005544,310
GO:0097199,311
GO:0035446,312
GO:0006301,313
GO:0017080,314
GO:0045162,315
